Location,"Lat, Long",Address,Property Score,#Green_Rooms,#Total_Rooms,#Proposed_Beds,Reject_Property,Updated Location
https://goo.gl/maps/SDUvaCLVyrR2,"28.4373984,77.0854965","18, Saraswati kunj 2, sector 52, Wazirabad, Gurgaon, Haryana",8.5,21,23,36,YES,"https://www.google.com/maps/place/Unnamed+Road,+Sarswati+Kunj+II,+Wazirabad,+Sector+52,+Gurugram,+Haryana+122413/@28.4373984,77.0854912,17z/data=!3m1!4b1!4m5!3m4!1s0x390d18a4e75311af:0x3574b329c75b3864!8m2!3d28.4373984!4d77.0876852?hl=en&shorturl=1"
https://goo.gl/maps/2vEBDXPdSDp14EE48,"28.430917, 77.059944","house no 1566,sector 46",8.5,14,14,34,NO,"https://www.google.com/maps/place/28%C2%B025'51.3%22N+77%C2%B003'35.8%22E/@28.4309183,77.0577549,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4309183!4d77.0599436?hl=en&shorturl=1"
"https://www.google.com/maps/place/28%C2%B030'26.8%22N+77%C2%B003'28.9%22E/@28.507435,77.0558483,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.507435!4d77.058037","28.507435,77.0558483,","HOUSE NO.-3778,Sector-23,GURUGRAM",8.05,13,19,26,YES,"https://www.google.com/maps/place/28%C2%B030'26.8%22N+77%C2%B003'28.9%22E/@28.507435,77.0558483,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.507435!4d77.058037"
https://goo.gl/maps/na6G1KtBk1EWvaM7A,"28.439333, 77.083694","House Number 1557, Wazirabad, Gurgaon, Haryana",7.8,37,37,107,NO,"https://www.google.com/maps/place/28%C2%B026'21.6%22N+77%C2%B005'01.3%22E/@28.4393425,77.0815058,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4393425!4d77.0836945?hl=en&shorturl=1"
"https://www.google.com/maps?q=28.457109451293945,77.0578384399414&z=17&hl=en","28.457109451293945,77",Sector 38,7.8,36,36,103,YES,"https://www.google.com/maps?q=28.457109451293945,77.0578384399414&z=17&hl=en"
https://goo.gl/maps/a3hhZjBm8sBbQx7F6,"28.44981,77.0543674",Plot no 483 Sector 40,9,8,8,16,YES,"https://www.google.com/maps/place/Unnamed+Road,+Sector+40,+Gurugram,+Haryana+122003/@28.44981,77.0543674,17z/data=!3m1!4b1!4m5!3m4!1s0x390d18f57de8c70f:0xad274944a1a92e3e!8m2!3d28.44981!4d77.0565561?shorturl=1"
https://goo.gl/maps/7ENJHive16RAMqKL8,"28.490000, 77.109306","Pt no:4-9, T block, Sec-24",8.9,14,14,20,,"https://www.google.com/maps/place/28%C2%B029'24.0%22N+77%C2%B006'33.5%22E/@28.4899942,77.1071199,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4899942!4d77.1093086?hl=en&shorturl=1"
https://goo.gl/maps/rmedbS62ynJimH19A,"28.412372, 77.061022","Pt no E 64, Rosewood",8.2,10,10,19,YES,"https://www.google.com/maps/place/28%C2%B024'44.5%22N+77%C2%B003'39.7%22E/@28.4123721,77.0588328,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4123721!4d77.0610215?q=28.4123721,77.0610215&z=17&hl=en&shorturl=1"
https://maps.app.goo.gl/zUQpb9YFwmWfDiV49,"28.4382868,77.0345846",Sai Residency islampur colony sector 38 Gurgaon Haryana,7.85,20,20,40,NO,https://maps.app.goo.gl/zUQpb9YFwmWfDiV49
https://goo.gl/maps/zAvUnEeBfKswmZiw9,"28.423111, 77.085667","house no 30025,sector 46",8.5,12,12,24,NO,"https://www.google.com/maps/place/28%C2%B025'23.2%22N+77%C2%B005'08.4%22E/@28.4230791,77.0839963,17.64z/data=!4m5!3m4!1s0x0:0x0!8m2!3d28.4230959!4d77.0856551?hl=en-US&shorturl=1"
https://goo.gl/maps/DQQJJVrnTNK3oMnD7,"28.418829, 77.049649","55,Q1 block road ,south city II, sector 49",6.15,3,8,6,YES,"https://www.google.com/maps/place/28%C2%B025'07.8%22N+77%C2%B002'58.7%22E/@28.4188292,77.0474601,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4188292!4d77.0496488?q=28.4188292,77.0496488&hl=en-US&gl=in&shorturl=1&shorturl=1"
https://goo.gl/maps/vzCifA8afQ2TJUTEA,"28.439309, 77.046970",Teja Apartment guest House sector 39 Jharsa,8.3,55,55,110,NO,"https://www.google.com/maps/place/28%C2%B026'21.5%22N+77%C2%B002'49.1%22E/@28.439309,77.0447813,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.439309!4d77.04697?q=28.439309,77.046970&shorturl=1&shorturl=1"
"https://www.google.com/maps/place/28%C2%B029'20.6%22N+77%C2%B005'42.0%22E/@28.4890404,77.0927973,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4890404!4d77.094986?hl=en","28.4890404,77.0927973","U64/43, DLF PHASE 3,GURUGRAM",8.35,10,11,19,NO,"https://www.google.com/maps/place/28%C2%B029'20.6%22N+77%C2%B005'42.0%22E/@28.4890404,77.0927973,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4890404!4d77.094986?hl=en"
https://goo.gl/maps/kW8NcDFcoHk,"28.431528, 77.076417","680, Sector 52",,17,17,34,NO,"https://www.google.com/maps/place/28%C2%B025'53.5%22N+77%C2%B004'35.1%22E/@28.4315297,77.0742221,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4315297!4d77.0764108?hl=en&shorturl=1"
